#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Abiotrophia defectiva,Bacteria;Terrabacteria group;Firmicutes,FDAARGOS_785,SAMN11056500,PRJNA231221,GCA_013267415.1,Complete,2.04683,47,chromosome:NZ_CP053988.1/CP053988.1,,1,1819,2020-06-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/267/415/GCA_013267415.1_ASM1326741v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/267/415/GCF_013267415.1_ASM1326741v1
Abyssicoccus albus,Bacteria;Terrabacteria group;Firmicutes,S31,SAMN06196447,PRJNA359636,GCA_001989575.1,Complete,1.74579,34.1,chromosome:NZ_CP019573.1/CP019573.1,,1,1707,2017-02-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/989/575/GCA_001989575.1_ASM198957v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/575/GCF_001989575.1_ASM198957v1
Abyssogena phaseoliformis symbiont OG214,Bacteria;unclassified Bacteria;Abyssogena phaseoliformis symbiont,OG214,SAMD00067080,PRJDB550,GCA_016592595.1,Complete,1.54218,37,chromosome:NZ_AP012977.1/AP012977.1,,1,1824,2020-12-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/592/595/GCA_016592595.1_ASM1659259v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/592/595/GCF_016592595.1_ASM1659259v1
Acaryochloris marina MBIC11017,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,MBIC11017,SAMN02604308,PRJNA12997,GCA_000018105.1,Complete,8.3616,46.9889,chromosome:NC_009925.1/CP000828.1; plasmid pREB1:NC_009926.1/CP000838.1; plasmid pREB2:NC_009927.1/CP000839.1; plasmid pREB3:NC_009928.1/CP000840.1; plasmid pREB4:NC_009929.1/CP000841.1; plasmid pREB5:NC_009930.1/CP000842.1; plasmid pREB6:NC_009931.1/CP000843.1; plasmid pREB7:NC_009932.1/CP000844.1; plasmid pREB8:NC_009933.1/CP000845.1; plasmid pREB9:NC_009934.1/CP000846.1,,10,7157,2007-10-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/105/GCA_000018105.1_ASM1810v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/105/GCF_000018105.1_ASM1810v1
Acetilactobacillus jinshanensis,Bacteria;Terrabacteria group;Firmicutes,HSLZ-75,SAMN10651137,PRJNA511912,GCA_004359375.1,Complete,1.61643,39.7,chromosome:NZ_CP034726.1/CP034726.1,,1,1493,2019-03-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/359/375/GCA_004359375.1_ASM435937v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/359/375/GCF_004359375.1_ASM435937v1
Acetivibrio thermocellus DSM 2360,Bacteria;Terrabacteria group;Firmicutes,LQRI,SAMN05210905,PRJNA324615,GCA_001692755.1,Complete,3.57758,39.2,chromosome:NZ_CP016502.1/CP016502.1,,1,2972,2016-07-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/692/755/GCA_001692755.1_ASM169275v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/692/755/GCF_001692755.1_ASM169275v1
Acetoanaerobium sticklandii,Bacteria;Terrabacteria group;Firmicutes,DSM 519,SAMEA3138340,PRJNA28575,GCA_000196455.1,Complete,2.71546,33.3,chromosome:NC_014614.1/FP565809.1,,1,2504,2010-10-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/455/GCA_000196455.1_ASM19645v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/455/GCF_000196455.1_ASM19645v1
Acetobacterium woodii DSM 1030,Bacteria;Terrabacteria group;Firmicutes,DSM 1030,SAMN02603267,PRJNA60713,GCA_000247605.1,Complete,4.04478,39.3,chromosome:NC_016894.1/CP002987.1,,1,3578,2012-02-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/605/GCA_000247605.1_ASM24760v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/605/GCF_000247605.1_ASM24760v1
Acetohalobium arabaticum DSM 5501,Bacteria;Terrabacteria group;Firmicutes,DSM 5501,SAMN00016993,PRJNA32769,GCA_000144695.1,Complete,2.4696,36.6,chromosome:NC_014378.1/CP002105.1,,1,2301,2010-08-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/695/GCA_000144695.1_ASM14469v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/695/GCF_000144695.1_ASM14469v1
Acetomicrobium mobile DSM 13181,Bacteria;Synergistetes;Synergistia,DSM 13181,SAMN02261375,PRJNA53351,GCA_000266925.1,Complete,2.1607,48,chromosome:NC_018024.1/CP003198.1,,1,2018,2012-06-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/266/925/GCA_000266925.1_ASM26692v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/266/925/GCF_000266925.1_ASM26692v1
Achromobacter xylosoxidans,Bacteria;Proteobacteria;Betaproteobacteria,AX1,SAMN12683688,PRJNA563576,GCA_008432465.1,Complete,6.40298,67.7,chromosome:NZ_CP043820.1/CP043820.1,,1,5732,2019-09-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/432/465/GCA_008432465.1_ASM843246v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/432/465/GCF_008432465.1_ASM843246v1
Acidaminococcus fermentans DSM 20731,Bacteria;Terrabacteria group;Firmicutes,DSM 20731,SAMN02598507,PRJNA33685,GCA_000025305.1,Complete,2.32977,55.8,chromosome:NC_013740.1/CP001859.1,,1,2071,2010-01-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/305/GCA_000025305.1_ASM2530v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/305/GCF_000025305.1_ASM2530v1
Acidibrevibacterium fodinaquatile,Bacteria;Proteobacteria;Alphaproteobacteria,G45-3,SAMN09005679,PRJNA454169,GCA_003352165.1,Complete,4.03761,65.487,chromosome:NZ_CP029176.1/CP029176.1; plasmid unnamed1:NZ_CP029177.1/CP029177.1; plasmid unnamed2:NZ_CP029178.1/CP029178.1; plasmid unnamed3:NZ_CP029179.1/CP029179.1,,4,3688,2018-08-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/352/165/GCA_003352165.1_ASM335216v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/352/165/GCF_003352165.1_ASM335216v1
Acidiferrobacter thiooxydans,Bacteria;Proteobacteria;Gammaproteobacteria,ZJ,SAMN05526184,PRJNA324464,GCA_001705075.2,Complete,3.30227,63.6,chromosome:NZ_CP080624.1/CP080624.1,,1,2965,2021-08-09T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/705/075/GCF_001705075.2_ASM170507v2
Acidihalobacter yilgarnensis,Bacteria;Proteobacteria;Gammaproteobacteria,F5,SAMN05828143,PRJNA344521,GCA_001753245.1,Complete,3.56694,59.9,chromosome:NZ_CP017415.1/CP017415.1,,1,3329,2016-10-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/753/245/GCA_001753245.1_ASM175324v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/245/GCF_001753245.1_ASM175324v1
